Number,Height,Weight
197,182.0,64.2
198,192.4,77.6
199,190.3,71.6
200,185.4,84.5
201,182.5,86.3
202,175.2,82.4
203,167.9,76.3
204,183.6,85.1
205,182.1,88.3
206,171.9,83.5
207,169.4,66.4
208,170.0,65.1
209,176.7,71.4
210,158.7,54.7
211,167.8,69.9
212,177.2,77.9
213,170.5,57.4
214,174.9,60.3
215,174.9,74.1
216,172.6,74.8
217,176.1,81.9
218,167.3,61.6
219,176.3,87.2
220,165.1,62.3
221,175.7,81.1
222,172.2,64.9
223,168.1,57.0
224,167.6,63.7
225,167.4,63.5
226,180.7,74.1
227,170.3,62.0
228,170.9,80.7
229,177.4,67.9
230,184.9,67.9
231,174.5,57.4
232,168.5,74.2
233,173.4,86.7
234,172.4,59.0
235,174.7,74.4
236,158.0,67.7
237,172.5,67.7
238,162.7,66.5
239,181.9,80.2
240,176.0,87.1
241,174.5,69.1
242,171.2,70.4
243,172.7,73.1
244,166.0,62.5
245,179.5,70.8
246,174.3,86.5
247,167.9,77.6
248,174.0,72.0
249,184.3,82.3
250,178.1,62.5
251,177.5,62.6
252,180.2,67.5
253,179.1,64.4
254,175.7,70.4
255,168.5,58.9
256,177.7,62.6
257,181.3,73.0
258,173.1,81.8
259,169.7,65.9
260,176.4,87.1
261,180.1,75.0
262,168.8,58.6
263,188.9,70.3
264,171.1,56.2
265,161.9,75.4
266,179.2,71.1
267,183.5,63.0
268,165.5,66.8
269,185.1,78.4
270,162.0,76.5
271,170.9,62.9
272,175.3,76.5
273,166.2,64.6
274,181.5,84.7
275,183.1,80.1
276,173.2,59.4
277,175.9,78.8
278,170.3,72.2
279,173.6,78.6
280,169.2,85.5
281,178.4,68.5
282,165.4,56.1
283,170.9,75.3
284,174.5,70.5
285,173.2,86.9
286,172.3,68.7
287,170.3,59.9
288,177.9,63.8
289,169.9,57.2
290,172.5,65.2
291,169.1,61.5
292,188.2,86.0
293,167.5,78.0
294,179.3,88.7
295,173.3,83.5
296,172.9,79.8
297,180.4,80.0
298,180.0,74.7
299,175.6,74.4
300,167.3,80.9
301,170.8,63.6
302,169.0,63.3
303,161.0,71.6
304,175.2,64.9
305,175.8,86.6
306,160.2,71.6
307,187.1,95.3
308,174.9,87.5
309,166.4,69.4
310,168.5,54.7
311,173.8,59.4
312,168.4,62.8
313,170.5,66.4
314,176.2,59.9
315,178.5,70.0
316,175.3,81.9
317,173.6,81.5
318,174.8,79.3
319,162.6,71.8
320,177.4,81.6
321,162.7,70.0
322,175.0,66.1
323,166.0,67.8
324,172.5,70.7
325,171.8,60.6
326,173.6,70.8
327,175.1,66.0
328,174.4,84.0
329,166.1,60.6
330,165.6,73.3
331,173.6,60.1
332,165.1,77.6
333,170.5,84.7
334,180.4,91.5
335,177.0,79.4
336,183.1,82.3
337,170.8,55.6
338,174.8,61.2
339,172.6,68.2
340,174.0,68.9
341,173.5,84.0
342,176.9,75.5
343,175.2,66.7
344,173.8,70.9
345,169.7,57.6
346,170.3,72.5
347,172.0,84.6
348,166.1,61.8
349,173.4,69.1
350,181.9,68.6
351,169.4,83.2
352,177.7,62.7
353,176.3,80.1
354,167.2,67.5
355,172.1,62.4
356,168.8,80.6
357,169.8,64.2
358,170.1,62.6
359,178.9,87.0
360,169.7,61.8
361,177.7,85.3
362,171.5,80.9
363,163.9,77.7
364,178.1,66.5
365,174.7,56.6
366,167.0,73.0
367,167.7,74.2
368,177.3,70.6
369,174.7,78.2
370,173.7,59.7
371,182.5,73.8
372,167.6,80.5
373,159.8,51.1
374,172.5,68.6
375,168.0,65.7
376,174.4,87.7
377,176.4,83.3
378,168.9,61.6
379,170.0,80.2
380,171.6,75.6
381,179.3,59.8
382,176.6,82.1
383,173.2,61.9
384,180.1,61.7
385,166.8,78.2
386,178.7,68.9
387,176.9,58.1
388,173.1,65.2
389,171.4,67.1
390,193.1,83.5
391,165.7,65.4
392,174.8,69.5
393,167.3,64.0
394,166.4,59.5
395,174.7,68.0
396,181.5,83.4
397,183.4,82.2
398,164.3,78.2
399,165.1,58.3
400,172.8,80.4
401,180.2,83.1
402,175.9,61.0
403,168.4,74.3
404,178.8,61.4
405,168.0,71.7
406,169.9,67.0
407,161.0,49.5
408,176.6,75.1
409,176.2,77.5
410,170.9,65.5
411,171.7,65.9
412,155.5,51.5
413,176.1,61.4
414,177.0,62.5
415,160.5,68.2
416,182.5,89.5
417,169.5,72.8
418,174.8,82.0
419,176.6,75.3
420,178.1,86.1
421,165.2,56.9
422,178.8,63.6
423,173.2,70.1
424,168.7,85.2
425,176.6,81.9
426,182.1,86.1
427,178.3,59.7
428,174.4,75.7
429,173.4,81.7
430,170.2,82.2
431,174.5,74.6
432,168.7,82.8
433,176.8,76.7
434,184.9,86.4
435,165.8,58.3
436,184.5,90.2
437,174.7,64.7
438,165.0,70.4
439,176.3,82.8
440,167.3,74.1
441,179.8,87.9
442,166.5,70.3
443,174.1,75.4
444,179.0,88.1
445,181.6,74.2
446,183.2,74.7
447,179.1,80.2
448,178.6,70.4
449,172.8,66.0
450,174.2,66.8
451,175.8,66.0
452,176.7,71.4
453,176.3,60.8
454,175.2,60.0
455,183.9,74.1
456,171.0,83.1
457,172.5,57.6
458,181.2,69.8
459,173.0,71.8
460,165.2,56.5
461,163.6,71.9
462,168.4,80.0
463,172.9,79.1
464,168.7,72.1
465,171.6,85.1
466,191.2,75.2
467,176.9,68.1
468,169.9,65.3
469,174.2,83.4
470,165.9,83.1
471,174.4,59.0
472,170.6,79.0
473,169.3,57.7
474,169.9,76.5
475,168.7,73.4
476,176.6,78.6
477,177.7,67.2
478,177.3,82.9
479,171.5,79.0
480,180.4,64.0
481,169.8,65.6
482,163.2,59.4
483,166.7,56.7
484,163.8,53.1
485,172.4,74.8
486,171.6,65.9
487,178.3,79.4
488,163.8,57.0
489,176.4,85.9
490,177.1,66.2
491,172.9,72.1
492,185.7,75.2
493,170.0,65.9
494,180.1,76.6
495,173.4,77.9
496,174.9,70.2
497,164.4,70.9
498,164.2,75.7
499,174.9,83.3
500,165.8,67.8
501,166.6,55.8
502,173.1,66.9
503,176.9,78.6
504,166.6,61.9
505,178.1,81.2
506,172.2,57.8
507,164.6,67.2
508,183.6,90.0
509,180.1,76.1
510,174.8,74.9
511,174.1,57.4
512,172.7,57.4
513,177.2,89.0
514,183.1,61.5
515,178.5,76.0
516,177.3,88.4
517,172.4,61.3
518,168.9,85.4
519,184.6,75.1
520,175.2,69.8
521,175.3,75.8
522,178.2,80.3
523,173.2,86.7
524,171.1,62.5
525,160.0,55.9
526,169.1,59.9
527,173.3,71.2
528,174.2,69.1
529,185.0,63.6
530,181.9,90.2
531,169.5,80.0
532,176.3,83.3
533,176.8,66.7
534,163.6,60.5
535,170.6,70.8
536,162.5,77.3
537,168.0,65.4
538,175.2,58.6
539,169.8,76.8
540,166.4,57.4
541,161.8,65.4
542,166.1,62.5
543,179.9,72.3
544,175.9,68.9
545,169.6,73.4
546,181.5,65.3
547,172.5,80.7
548,175.2,68.7
549,176.1,83.4
550,166.6,54.7
551,176.8,67.0
552,183.0,79.1
553,173.2,82.0
554,171.7,77.7
555,181.1,83.1
556,163.4,56.2
557,175.4,69.7
558,177.5,85.8
559,174.7,78.1
560,177.2,66.0
561,176.1,77.0
562,171.9,81.3
563,173.7,65.1
564,177.0,60.8
565,163.9,77.0
566,173.3,71.1
567,171.2,59.5
568,173.9,71.4
569,183.7,63.4
570,169.4,69.8
571,162.7,79.1
572,175.7,78.9
573,180.2,77.4
574,174.5,64.0
575,167.1,78.5
576,181.6,76.5
577,167.8,68.1
578,171.7,70.5
579,168.2,58.5
580,176.4,67.7
581,177.0,82.9
582,182.9,81.1
583,174.9,86.8
584,169.3,63.3
585,172.1,83.1
586,163.4,62.0
587,178.8,81.1
588,173.5,77.9
589,172.0,83.8
590,174.8,76.9
591,165.3,53.3
592,173.2,85.9
593,180.6,72.4
594,175.8,74.2
595,179.8,62.4
596,178.4,67.4
597,173.6,67.4
598,180.5,63.2
599,167.6,76.4
600,171.4,82.2
601,176.8,85.9
602,177.0,87.3
603,166.4,68.4
604,170.5,59.3
605,174.4,79.5
606,174.4,79.0
607,161.9,63.4
608,172.4,86.1
609,185.6,71.6
610,167.6,69.1
611,181.8,77.4
612,175.6,84.8
613,172.3,78.6
614,179.6,59.8
615,166.4,83.9
616,179.3,68.3
617,170.1,54.5
618,174.3,68.0
619,177.7,59.4
620,166.8,76.7
621,176.7,84.4
622,173.0,57.7
623,172.9,80.5
624,165.8,74.5
625,179.2,82.3
626,175.5,59.9
627,175.1,66.9
628,162.7,62.8
629,176.2,68.8
630,174.0,70.8
631,164.8,63.8
632,183.1,83.0
633,179.3,65.6
634,181.7,91.7
635,170.0,70.5
636,167.0,60.5
637,172.5,62.8
638,175.7,74.0
639,182.3,70.9
640,171.5,68.2
641,182.2,72.4
642,169.9,65.9
643,179.6,79.7
644,180.6,62.0
645,179.3,77.9
646,163.9,80.9
647,179.6,75.6
648,173.8,62.0
649,172.2,60.5
650,176.9,87.7
651,185.3,87.7
652,179.2,66.5
653,171.7,68.8
654,167.8,62.4
655,177.4,76.7
656,166.9,80.2
657,176.1,63.4
658,178.2,81.3
659,163.5,54.9
660,180.3,68.8
661,180.9,82.8
662,183.9,86.9
663,178.5,83.5
664,176.5,79.3
665,165.9,79.2
666,160.1,77.1
667,170.2,81.4
668,179.7,64.2
669,169.5,63.3
670,164.0,80.8
671,174.8,73.9
672,160.0,56.2
673,166.1,62.7
674,177.5,86.3
675,166.6,82.3
676,175.3,68.3
677,178.8,63.9
678,172.3,56.6
679,173.9,83.5
680,176.0,73.1
681,176.3,77.5
682,173.1,58.5
683,166.5,69.7
684,183.5,63.2
685,177.2,75.0
686,174.7,79.8
687,175.0,58.0
688,170.8,56.4
689,165.9,63.7
690,172.7,60.3
691,172.9,78.4
692,172.9,76.2
693,171.1,58.0
694,172.2,67.8
695,164.5,77.0
696,175.3,61.4
697,172.4,85.6
698,180.9,84.3
699,173.2,71.5
700,179.3,66.3
701,182.2,75.2
702,181.4,87.0
703,171.8,56.0
704,176.8,63.9
705,180.5,75.2
706,158.7,75.0
707,161.8,53.5
708,169.8,68.3
709,178.1,86.7
710,171.6,64.2
711,166.2,76.4
712,181.0,86.7
713,189.1,67.4
714,173.9,70.0
715,174.7,66.4
716,170.8,86.3
717,175.8,74.1
718,177.0,72.6
719,171.6,83.9
720,189.1,88.6
721,181.1,73.7
722,180.5,90.3
723,173.8,63.6
724,173.8,67.7
725,162.8,71.9
726,175.2,58.8
727,170.4,64.8
728,176.2,83.4
729,172.0,61.7
730,177.0,81.1
731,166.8,73.9
732,177.5,62.1
733,160.9,69.7
734,168.4,56.4
735,172.5,75.2
736,169.6,69.0
737,163.0,61.8
738,178.1,71.5
739,173.2,64.5
740,177.8,68.2
741,167.5,73.1
742,172.2,58.7
743,171.0,67.0
744,172.6,84.8
745,176.8,66.2
746,180.2,85.7
747,175.2,88.1
748,170.3,75.9
749,171.1,79.6
750,173.5,68.8
751,166.8,80.8
752,170.5,75.2
753,179.2,72.2
754,174.2,83.5
755,160.7,59.7
756,175.6,69.0
757,182.7,90.3
758,174.9,72.5
759,176.7,77.1
760,185.5,69.2
761,183.7,75.7
762,182.6,76.7
763,172.4,61.0
764,176.4,82.9
765,171.3,64.2
766,185.0,64.0
767,169.7,63.9
768,158.8,72.1
769,170.2,58.4
770,168.7,71.3
771,168.4,84.7
772,169.7,56.3
773,180.8,61.2
774,169.8,58.8
775,173.1,60.2
776,175.8,59.6
777,179.2,83.3
778,179.3,69.0
779,161.1,73.0
780,169.4,53.9
781,173.1,68.8
782,168.9,71.0
783,177.2,80.1
784,179.8,68.8
785,168.8,84.6
786,183.4,85.2
787,174.2,74.8
788,175.2,65.3
789,181.7,79.3
790,182.1,71.1
791,178.1,78.9
792,174.5,76.2
793,158.7,47.9
794,176.4,88.0
795,167.9,82.9
796,173.0,74.6
797,167.3,59.4
798,170.7,55.4
799,166.8,77.9
800,169.1,63.0
801,181.1,86.2
802,180.2,81.4
803,172.2,67.1
804,168.7,84.9
805,168.8,55.7
806,170.7,65.5
807,165.3,82.3
808,169.4,79.0
809,177.1,60.3
810,170.0,71.9
811,180.4,65.0
812,170.8,56.2
813,180.3,66.3
814,177.7,80.4
815,175.5,57.4
816,184.9,93.2
817,174.6,64.2
818,175.9,61.5
819,174.3,73.6
820,177.2,80.4
821,163.7,66.4
822,184.0,86.4
823,174.0,63.2
824,180.9,79.8
825,165.6,59.0
826,171.2,78.1
827,178.0,71.1
828,169.7,59.4
829,165.6,73.0
830,176.7,59.2
831,174.7,69.7
832,175.1,70.2
833,167.5,65.3
834,178.0,74.3
835,170.8,81.8
836,180.7,82.9
837,167.9,84.2
838,169.3,72.6
839,169.8,75.7
840,165.5,57.1
841,178.7,88.2
842,174.6,59.5
843,165.7,54.1
844,171.9,55.9
845,178.3,74.1
846,179.6,67.8
847,191.8,90.4
848,172.4,77.6
849,172.5,65.5
850,180.2,75.1
851,169.3,75.1
852,172.7,60.0
853,164.5,74.6
854,170.8,70.7
855,165.4,52.2
856,172.7,79.2
857,182.0,66.7
858,161.7,69.1
859,168.4,70.5
860,172.9,73.8
861,162.5,60.6
862,174.3,81.0
863,167.6,68.3
864,164.4,60.0
865,181.1,82.8
866,174.9,62.6
867,173.3,75.5
868,178.9,78.8
869,161.3,52.6
870,174.1,83.8
871,168.4,77.1
872,168.6,59.2
873,176.8,74.3
874,172.3,80.3
875,178.2,70.1
876,169.4,72.9
877,173.5,85.6
878,172.6,71.9
879,173.8,86.4
880,172.1,75.4
881,175.6,87.7
882,168.9,75.1
883,181.1,63.5
884,170.9,81.3
885,179.6,72.2
886,176.1,78.3
887,169.6,79.6
888,165.3,62.9
889,179.4,87.5
890,178.5,81.0
891,178.6,90.7
892,169.0,68.6
893,181.6,76.2
894,168.4,58.8
895,169.2,84.6
896,174.9,67.3
897,166.7,64.2
898,182.2,68.5
899,175.3,71.3
900,165.6,82.1
901,166.9,80.0
902,172.5,73.7
903,176.0,84.2
904,172.5,86.7
905,176.7,60.3
906,182.6,61.2
907,158.2,76.2
908,158.4,71.1
909,161.6,58.2
910,179.5,63.3
911,178.7,64.3
912,174.1,87.0
913,173.4,72.0
914,172.5,65.2
915,173.4,87.3
916,175.5,59.9
917,178.9,82.1
918,175.9,78.4
919,173.0,79.2
920,172.1,56.2
921,172.4,55.6
922,165.0,80.1
923,170.0,83.0
924,177.7,66.1
925,166.3,61.6
926,171.5,81.5
927,174.9,88.1
928,177.8,83.4
929,165.2,68.7
930,178.9,79.4
931,169.3,70.6
932,172.2,86.6
933,175.6,69.9
934,177.8,59.0
935,165.3,78.0
936,161.5,70.2
937,179.6,82.1
938,171.7,85.0
939,182.2,79.8
940,175.8,70.7
941,170.4,77.8
942,184.4,86.6
943,175.7,81.4
944,171.4,59.9
945,185.5,63.4
946,172.9,60.4
947,167.4,62.1
948,181.1,64.0
949,171.8,65.1
950,171.2,62.8
951,178.4,86.3
952,173.2,61.8
953,176.6,62.5
954,176.8,67.5
955,174.1,86.7
956,173.4,74.3
957,169.8,81.4
958,167.0,70.7
959,176.6,71.2
960,173.9,79.9
961,176.8,80.5
962,171.7,72.9
963,163.2,80.0
964,177.6,85.5
965,175.3,75.7
966,171.3,80.5
967,186.4,85.8
968,180.6,61.6
969,173.4,72.1
970,173.3,68.3
971,173.5,74.1
972,171.7,79.2
973,175.8,87.0
974,170.6,84.9
975,163.8,56.2
976,180.4,70.7
977,173.6,72.5
978,178.3,71.5
979,176.1,74.7
980,172.8,64.0
981,169.4,62.7
982,169.2,58.5
983,180.9,81.7
984,180.8,88.9
985,165.2,83.0
986,163.2,69.7
987,172.2,59.7
988,178.9,80.8
989,176.7,87.4
990,177.4,74.3
991,165.9,60.2
992,175.2,59.2
993,170.5,60.0
994,171.9,73.3
995,166.4,64.9
996,171.8,68.2
997,171.5,75.6
998,177.9,66.5
999,174.4,72.0
1000,173.5,77.4
