Name,Hours
Hammerfight,0.4
Spintires,0.4
Ziggurat,0.4
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0.4
Dead Island,0.3
Superbrothers Sword & Sworcery EP,0.3
GRID 2,0.3
Sonic & All-Stars Racing Transformed,0.3
Call of Juarez Gunslinger,0.3
Crysis 2 Maximum Edition,0.3
Strike Vector,0.3
Prison Architect,0.3
Lego Harry Potter,0.3
Outlast,0.3
Super Hexagon,0.2
WRC 4 FIA WORLD RALLY CHAMPIONSHIP,0.2
Valkyria Chronicles,0.2
Shatter,0.2
Proteus,0.2
Jamestown,0.2
Spelunky,0.2
Astebreed,0.2
STAR WARS Knights of the Old Republic II The Sith Lords,0.2
Phantom Breaker Battle Grounds,0.2
Tom Clancy's Splinter Cell Chaos Theory,0.2
The Witcher Enhanced Edition,0.2
Risk of Rain,0.2
Survarium,0.2
Afterlife Empire,0.2
BattleBlock Theater,0.2
Need for Speed Hot Pursuit,0.2
BIT.TRIP RUNNER,0.1
Coin Crypt,0.1
Skullgirls,0.1
The Crew,0.1
Metro Last Light Redux,0.1
Crimzon Clover  WORLD IGNITION,0.1
Sonic Generations,0.1
Ethan Meteor Hunter,0.1
Reus,0.1
Team Fortress 2,13.0
Call of Duty Modern Warfare 2 - Multiplayer,92.0
Call of Duty Modern Warfare 2,47.0
Call of Duty Black Ops - Multiplayer,22.0
Counter-Strike Source,10.3
Dungeon Defenders,6.8
Call of Duty Black Ops,3.1
Day of Defeat Source,1.1
Dota 2,9.1
Dota 2,0.5
Team Fortress 2,42.0
Dota 2,
Empire Total War,42.0
ARK Survival Evolved,29.0
Team Fortress 2,10.1
Unturned,5.6
Alien Swarm,1.0
Dota 2,14.8
Tomb Raider,8.8
TERA,0.9
Dota 2,4.2
Dota 2,1784.0
Counter-Strike Global Offensive,626.0
Counter-Strike Source,176.0
Rust,69.0
Saints Row IV,48.0
Team Fortress 2,16.1
Dead Island Riptide,13.6
Flatout 3,11.7
Garry's Mod,10.2
Counter-Strike Nexon Zombies,5.8
Outlast,4.1
Robocraft,2.3
Far Cry 3,2.2
Everlasting Summer,0.6
Dead Island Epidemic,0.6
War Thunder,0.4
DCS World,0.3
Dota 2,
Tactical Intervention,0.4
Dota 2,7.4
Dota 2,135.0
Counter-Strike Global Offensive,125.0
Dota 2,3.8
Dota 2,6.2
Team Fortress 2,1.2
Dota 2,1.9
Unturned,0.6
Dota 2,5.2
Medal of Honor(TM) Multiplayer,44.0
Max Payne 2 The Fall of Max Payne,32.0
Middle-earth Shadow of Mordor,26.0
Mafia II,15.9
Nosgoth,15.8
Race The Sun,10.5
Space Pirates and Zombies,9.5
Revenge of the Titans,9.2
Team Fortress 2,9.0
Dota 2,8.6
A Virus Named TOM,8.3
Europa Universalis III,8.3
Awesomenauts,8.2
Super Puzzle Platformer Deluxe,5.9
Super Meat Boy,4.7
LIMBO,1.3
Mark of the Ninja,0.9
Burnout Paradise The Ultimate Box,0.6
Mirror's Edge,0.5
Crysis 2 Maximum Edition,0.5
Painkiller Overdose,0.4
Cogs,0.2
Crayon Physics Deluxe,0.2
Osmos,0.1
America's Army Proving Grounds,1118.0
Tom Clancy's Ghost Recon Phantoms - NA,17.2
APB Reloaded,5.9
Dota 2,12.7
Dota 2,2.1
Dota 2,10.4
The Elder Scrolls V Skyrim,110.0
7 Days to Die,99.0
Garry's Mod,40.0
Far Cry 3 Blood Dragon,30.0
ORION Prelude,10.0
Hotline Miami,8.4
Goat Simulator,1.9
Hotline Miami 2 Wrong Number,0.8
Amnesia A Machine for Pigs,0.5
Dota 2,0.9
Batman Arkham City GOTY,79.0
Deadpool,34.0
Team Fortress 2,1085.0
Counter-Strike Condition Zero,36.0
Counter-Strike,0.2
Mad Max,16.9
Dota 2,4.8
Counter-Strike,211.0
Mount & Blade Warband,78.0
Counter-Strike Condition Zero,60.0
Castle Crashers,31.0
Call of Duty Black Ops,11.3
Call of Duty Black Ops - Multiplayer,10.0
Tom Clancy's Ghost Recon Phantoms - EU,7.8
Left 4 Dead,1.1
SMITE,
Ricochet,0.3
Kane & Lynch 2 Dog Days,0.2
Counter-Strike Global Offensive,94.0
Unturned,15.0
Garry's Mod,10.8
PAYDAY 2,6.7
Team Fortress 2,3.6
Infinite Crisis,2.4
AdVenture Capitalist,2.1
DiggerOnline,0.9
Survarium,0.7
Heroes & Generals,0.2
Dota 2,5.3
Counter-Strike,91.0
The Elder Scrolls V Skyrim,465.0
Project CARS,40.0
Defense Grid The Awakening,66.0
Broken Age,35.0
Cloud Chamber,22.0
Stacking,19.6
Ghostbusters The Video Game,16.3
Faerie Solitaire,14.7
Dreamfall Chapters,14.6
Portal Stories Mel,14.3
Universe Sandbox,13.3
Portal 2,11.3
Toki Tori,11.2
The Wonderful End of the World,10.5
Hacker Evolution,9.5
Portal,9.1
Thomas Was Alone,9.0
Little Inferno,8.9
BIT.TRIP RUNNER,8.6
The Stanley Parable,7.1
Costume Quest,7.1
RUSH,7.1
Return to Mysterious Island 2,5.9
World of Goo,5.9
Deus Ex Game of the Year Edition,5.6
Portal 2 - The Final Hours,5.6
AaAaAA!!! - A Reckless Disregard for Gravity,5.3
Audiosurf,5.2
Machinarium,5.1
VVVVVV,5.1
GEARCRACK Arena,4.7
Quantum Conundrum,4.3
Mission Control NanoMech,4.1
Defense Grid 2 A Matter of Endurance,4.1
Alan Wake's American Nightmare,3.7
Sam & Max 101 Culture Shock,3.7
Back to the Future Ep 2 - Get Tannen!,3.6
The Ball,3.6
Torchlight II,3.6
Back to the Future Ep 5 - OUTATIME,3.4
Amnesia The Dark Descent,3.3
Sam & Max 102 Situation Comedy,3.2
Jamestown,3.2
Oozi Earth Adventure,3.1
Back to the Future Ep 1 - It's About Time,2.9
Back to the Future Ep 4 - Double Visions,2.8
Organ Trail Director's Cut,2.7
Back to the Future Ep 3 - Citizen Brown,2.6
Fester Mudd Curse of the Gold - Episode 1,2.3
BIT.TRIP BEAT,2.2
Braid,2.2
A Virus Named TOM,2.1
FTL Faster Than Light,2.0
Atom Zombie Smasher ,2.0
Team Fortress 2,1.3
Super Meat Boy,1.2
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),1.2
Bastion,1.1
Osmos,1.0
Cogs,1.0
Botanicula,0.9
Killing Floor,0.9
And Yet It Moves,0.8
NightSky,0.6
Ticket to Ride,0.5
Penumbra Overture,0.4
Dear Esther,0.3
Crayon Physics Deluxe,0.3
Lucid,0.2
Critical Mass,0.1
Dota 2,62.0
Dota 2,22.0
Team Fortress 2,2.0
S.K.I.L.L. - Special Force 2,0.9
BLOCKADE 3D,0.3
Team Fortress 2,762.0
Rocket League,348.0
Left 4 Dead 2,270.0
The Elder Scrolls V Skyrim,220.0
Audiosurf,113.0
Fallout 3 - Game of the Year Edition,105.0
The Elder Scrolls IV Oblivion ,99.0
Terraria,84.0
Assassin's Creed Brotherhood,62.0
Grand Theft Auto V,61.0
Saints Row 2,58.0
Grand Theft Auto Episodes from Liberty City,57.0
The Witcher Enhanced Edition,56.0
Super Meat Boy,46.0
Left 4 Dead,44.0
Saints Row The Third,44.0
Batman Arkham Origins,41.0
The Witcher 2 Assassins of Kings Enhanced Edition,39.0
The Elder Scrolls III Morrowind,38.0
Bookworm Adventures Deluxe,38.0
Star Wars Knights of the Old Republic,36.0
Watch_Dogs,32.0
Sleeping Dogs,31.0
GRID,31.0
Hidden Object Bundle 4 in 1,27.0
Darksiders,24.0
Worms Reloaded,23.0
FlatOut Ultimate Carnage,23.0
SimCity 4 Deluxe,23.0
Portal 2,22.0
Call of Duty Black Ops - Multiplayer,21.0
Rogue Legacy,21.0
Trine,21.0
Chivalry Medieval Warfare,19.9
Spelunky,19.8
Ghost Master,19.7
Peggle Deluxe,19.7
Alan Wake,19.5
Peggle Nights,19.5
Sherlock Holmes Nemesis,19.4
Puzzler World 2,19.1
Tomb Raider,18.3
Bejeweled 3,18.2
Half-Life 2,18.1
Alice Madness Returns,17.3
BioShock,17.1
The Book of Unwritten Tales,15.4
FEZ,15.0
The Movies,14.5
Guacamelee! Gold Edition,14.4
The Walking Dead,14.0
MacGuffin's Curse,13.8
The Testament of Sherlock Holmes,13.8
Bully Scholarship Edition,13.5
Indigo Prophecy,12.8
Just Cause 2,12.7
Crazy Machines 2,12.6
The Secret of Monkey Island Special Edition,12.4
Kingdoms of Amalur Reckoning,12.4
"Cook, Serve, Delicious!",11.6
Deponia The Complete Journey,11.3
Game Dev Tycoon,11.3
Prison Architect,11.2
Bastion,11.1
Call of Duty Modern Warfare 2,11.0
Tales of Monkey Island Chapter 1 - Launch of the Screaming Narwhal,10.7
DiRT 2,10.5
Worms Clan Wars,10.4
Ghostbusters The Video Game,10.1
Monkey Island 2 Special Edition,9.8
Vessel,9.7
Dishonored,9.7
4 Elements,9.4
Cryostasis,9.3
The Ball,9.0
TrackMania Stadium,8.8
Aura Fate of the Ages,8.4
Cave Story+,7.9
Scribblenauts Unlimited,7.8
Eets,7.8
Trials 2 Second Edition,7.7
Grim Legends The Forsaken Bride,7.7
Call of Duty Modern Warfare 2 - Multiplayer,7.7
Machinarium,7.6
Call of Duty Black Ops,7.5
Nightmares from the Deep 2 The Siren`s Call,7.4
Banished,7.2
Lara Croft and the Guardian of Light,7.2
Antichamber,7.2
Goat Simulator,7.0
Tales of Monkey Island Chapter 2 - The Siege of Spinner Cay ,7.0
The Jackbox Party Pack,7.0
Abyss The Wraiths of Eden,6.8
Anodyne,6.7
Tales of Monkey Island Chapter 3 - Lair of the Leviathan ,6.7
Penumbra Overture,6.6
Singularity,6.6
Osmos,6.5
The Maw,6.5
Psychonauts,6.1
Poker Night at the Inventory,5.9
Penumbra Black Plague,5.7
Sinister City,5.6
Puzzle Agent,5.6
S.T.A.L.K.E.R. Shadow of Chernobyl,5.5
Counter-Strike Global Offensive,5.5
Cargo! - The quest for gravity,5.4
Rocketbirds Hardboiled Chicken,5.3
Atom Zombie Smasher ,5.3
Nightmares from the Deep The Cursed Heart,5.3
"Papers, Please",5.2
Insanely Twisted Shadow Planet,5.1
Surgeon Simulator,4.9
Cities Skylines,4.7
Alchemy Mysteries Prague Legends,4.6
Clockwork Tales Of Glass and Ink,4.5
CID The Dummy,4.4
Tales of Monkey Island Chapter 4 - The Trial and Execution of Guybrush Threepwood ,4.4
Portal,4.4
Puzzle Agent 2,4.3
Torchlight II,4.2
9 Clues The Secret of Serpent Creek,4.2
The Tiny Bang Story,4.2
Braid,4.1
VVVVVV,4.0
And Yet It Moves,4.0
Broken Age,3.9
Wallace & Gromit Ep 1 Fright of the Bumblebees,3.8
Shoppe Keep,3.6
Gone Home,3.4
Windosill,3.4
Plants vs. Zombies Game of the Year,3.4
Sam & Max 105 Reality 2.0,3.3
Tales of Monkey Island Chapter 5 - Rise of the Pirate God,3.2
ibb & obb,3.2
Botanicula,3.2
Monaco,3.1
Obulis,2.9
Nidhogg,2.9
Sam & Max 106 Bright Side of the Moon,2.8
Alien Swarm,2.7
Chime,2.7
RollerCoaster Tycoon 3 Platinum!,2.6
Sam & Max 101 Culture Shock,2.6
Sam & Max 104 Abe Lincoln Must Die!,2.5
"Ben There, Dan That!",2.5
Hector Ep 1,2.4
Resident Evil 5 / Biohazard 5,2.4
Dungeon Defenders,2.3
The Wolf Among Us,2.3
Fate of the World,2.3
State of Decay,2.3
Dota 2,2.2
Contagion,2.1
Shatter,2.0
World of Goo,2.0
Toki Tori,1.9
The Beginner's Guide,1.9
Octodad Dadliest Catch,1.8
TRAUMA,1.8
Trials Evolution Gold Edition,1.5
Half-Life,1.5
"Sam & Max 103 The Mole, the Mob and the Meatball",1.5
Penumbra Requiem,1.5
Spectraball,1.5
Plain Sight,1.4
The Cave,1.4
Crayon Physics Deluxe,1.4
Sonic & All-Stars Racing Transformed,1.4
Just Cause 2 Multiplayer Mod,1.3
Garry's Mod,1.3
Blocks That Matter,1.1
"Time Gentlemen, Please!",1.0
Trine 2,1.0
F.E.A.R. 2 Project Origin,0.9
Dark Souls Prepare to Die Edition,0.9
Blur,0.9
YOU DON'T KNOW JACK Vol. 1 XL,0.8
Unturned,0.8
Port of Call,0.8
Magicka,0.7
The Stanley Parable,0.7
Sam & Max 102 Situation Comedy,0.7
LEGO Worlds,0.7
Zeno Clash,0.7
FORCED,0.6
Hydrophobia Prophecy,0.6
Gravilon,0.6
The Longest Journey,0.6
Shadow Puppeteer,0.6
The Path - Prologue,0.6
The Misadventures of P.B. Winterbottom,0.4
Vertiginous Golf,0.4
Counter-Strike Source,0.4
BattleBlock Theater,0.4
EDGE,0.4
Shank 2,0.3
Jolly Rover,0.3
Fallout New Vegas,0.3
Team Fortress Classic,0.3
Orcs Must Die!,0.3
Tomb Raider I,0.3
RUSH,0.2
Sid Meier's Civilization IV,0.1
Dota 2,278.0
Dota 2,240.0
Dota 2,6.9
Unturned,1.2
Counter-Strike Global Offensive,1028.0
Counter-Strike,1008.0
Left 4 Dead,148.0
The Sims(TM) 3,108.0
Team Fortress 2,72.0
H1Z1,36.0
The Elder Scrolls V Skyrim,35.0
Counter-Strike Source,32.0
Borderlands 2,21.0
PAYDAY The Heist,16.0
Left 4 Dead 2,15.8
Need for Speed Undercover,15.8
Battlefield Bad Company 2,8.6
EasyAntiCheat eSports,7.8
Portal 2,7.3
Dota 2,3.1
Alien Swarm,1.9
Terraria,1.7
Commandos 3 Destination Berlin,1.1
Age of Chivalry,0.6
Counter-Strike Condition Zero Deleted Scenes,0.4
Dota 2,86.0
SMITE,33.0
Team Fortress 2,3.3
Dota 2,0.3
Dota 2,142.0
War Inc. Battlezone,6.4
Labyronia RPG,5.9
Aftermath,4.9
Warframe,4.2
sZone-Online,1.9
Archeblade,1.9
Tom Clancy's Ghost Recon Phantoms - NA,1.1
Fishing Planet,0.9
Happy Wars,0.7
DiggerOnline,0.4
the static speaks my name,0.2
Dota 2,1.1
Dota 2,2.3
METAL GEAR SOLID V GROUND ZEROES,3.0
Counter-Strike,0.8
Garry's Mod,105.0
Team Fortress 2,30.0
No More Room in Hell,25.0
Unturned,14.9
Arma 2,10.9
Counter-Strike Global Offensive,7.4
Tactical Intervention,7.4
Robocraft,5.6
Saints Row The Third,3.4
Heroes & Generals,2.0
Dota 2,0.4
Dota 2,891.0
Counter-Strike Global Offensive,853.0
Heroes & Generals,3.3
Loadout,3.1
Fishing Planet,1.9
World of Guns Gun Disassembly,0.8
sZone-Online,0.8
Quake Live,0.2
Fractured Space,0.2
Team Fortress 2,6.6
Dota 2,3.6
Counter-Strike Global Offensive,231.0
H1Z1,6.6
F.E.A.R. 2 Project Origin,13.6
Dota 2,9.9
Team Fortress 2,4.5
Counter-Strike Nexon Zombies,42.0
Dota 2,0.5
Dota 2,2.0
Infinite Crisis,0.6
Grand Theft Auto V,499.0
Team Fortress 2,29.0
Dota 2,2.4
Dota 2,1.5
Dota 2,10.1
Dota 2,6.5
Nosgoth,5.4
Call of Duty Modern Warfare 2 - Multiplayer,153.0
Counter-Strike Source,63.0
Call of Duty Modern Warfare 2,26.0
Arma 2,22.0
Left 4 Dead 2,1.4
Sleeping Dogs,104.0
Mortal Kombat Komplete Edition,6.3
Call of Duty Advanced Warfare,1.5
Dota 2,0.4
Counter-Strike Global Offensive,13.4
Euro Truck Simulator 2,12.0
Counter-Strike Global Offensive,75.0
Half-Life 2 Episode Two,0.5
Team Fortress 2,0.5
Dota 2,550.0
Team Fortress 2,27.0
Dungeon Defenders,16.8
Chivalry Medieval Warfare,6.9
Empire Total War,303.0
Napoleon Total War,3.5
Counter-Strike Source,12.2
Battlefield Bad Company 2,2.9
Team Fortress 2,0.9
Pyroblazer,0.2
Counter-Strike,0.1
Counter-Strike Global Offensive,639.0
DayZ,479.0
Heroes & Generals,70.0
PAYDAY 2,65.0
Grand Theft Auto V,33.0
War Thunder,30.0
Arma 3,19.8
Just Cause,16.2
H1Z1,11.3
Arma 2 Operation Arrowhead,4.2
This War of Mine,3.9
Arma 2,2.3
Sniper Elite V2,1.7
Team Fortress 2,1.0
Rising Storm/Red Orchestra 2 Multiplayer,0.8
Just Cause 2 Multiplayer Mod,0.8
Arma 2 Private Military Company,0.7
Just Cause 2,0.7
Robocraft,0.5
Arma 2 Operation Arrowhead Beta (Obsolete),0.3
Arma Cold War Assault,0.3
Dota 2,865.0
Counter-Strike,271.0
Heroes & Generals,16.7
Unturned,10.7
Left 4 Dead 2,8.6
La Tale,8.4
Dota 2,2.4
Endless Sky,2.0
Amazing World,1.2
Hazard Ops,0.7
Codename CURE,0.3
Blacklight Retribution,0.3
Arma 2,0.2
Quake Live,0.2
Dota 2,60.0
R.U.S.E,60.0
Total War ROME II - Emperor Edition,31.0
Star Wars - Battlefront II,7.0
Stronghold 3,3.0
Dota 2,1256.0
PAYDAY The Heist,8.8
Pixel Puzzles Japan,8.8
Afterfall InSanity Extended Edition,2.6
Marvel Heroes 2015,1.5
Anomaly Warzone Earth,1.2
Woodle Tree Adventures,0.8
XCOM Enemy Unknown,110.0
Dota 2,1.9
Starpoint Gemini 2,1.0
Torchlight II,0.4
Dungeon Defenders,0.3
WAKFU,912.0
Starbound,153.0
DayZ,79.0
Mass Effect 2,29.0
Mass Effect,19.7
Clicker Heroes,13.3
H1Z1,12.3
PlanetSide 2,6.4
Marvel Heroes 2015,4.6
Left 4 Dead 2,2.7
PAYDAY The Heist,2.6
Batman Arkham City GOTY,2.3
S.K.I.L.L. - Special Force 2,1.6
Warface,1.4
Dirty Bomb,1.0
Nosgoth,0.9
Heroes & Generals,0.9
Dead Space,0.3
Survarium,0.3
Batman Arkham Asylum GOTY Edition,0.3
Borderlands,0.3
Injustice Gods Among Us Ultimate Edition,0.2
Path of Exile,0.2
Unturned,0.3
Dota 2,0.3
Dota 2,1.9
Marvel Puzzle Quest,128.0
Sid Meier's Civilization V,72.0
NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,59.0
Don't Starve,58.0
Batman Arkham City,46.0
The Sims(TM) Medieval,41.0
Bejeweled 3,41.0
EVE Online,35.0
Borderlands 2,21.0
Deus Ex Human Revolution,14.6
The Elder Scrolls V Skyrim,14.6
Batman Arkham Asylum GOTY Edition,14.5
Dead Island,12.9
Darksiders,7.0
BioShock Infinite,6.6
Tom Clancy's Splinter Cell Conviction,6.3
EDGE,5.8
The Walking Dead,5.7
DC Universe Online,3.8
RIFT,3.3
Don't Starve Together Beta,3.2
Darksiders II,3.1
Star Wars The Force Unleashed Ultimate Sith Edition,3.0
Command and Conquer 4 Tiberian Twilight,2.9
Trine 2,2.8
Universe Sandbox,2.8
Anno 2070,2.8
RAGE,2.7
Borderlands,2.5
LIMBO,2.2
SpaceChem,1.9
Transistor,1.8
Chessmaster,1.8
Age of Empires III Complete Collection,1.6
Injustice Gods Among Us Ultimate Edition,1.5
Transformers Fall of Cybertron,1.3
Audiosurf,1.2
Beat Hazard,1.2
Brtal Legend,1.1
Left 4 Dead,1.0
Might & Magic Heroes VI,0.9
"Warhammer 40,000 Dawn of War II",0.8
Portal 2,0.8
Star Wars The Clone Wars Republic Heroes,0.7
Prototype,0.7
Bastion,0.5
Left 4 Dead 2,0.5
Star Wars Jedi Knight Jedi Academy,0.5
DEFCON,0.4
Mark of the Ninja,0.4
Mirror's Edge,0.3
Dungeon Siege 2,0.3
"Warhammer 40,000 Space Marine",0.3
The Polynomial,0.3
Achron,0.3
Space Pirates and Zombies,0.3
Anomaly Warzone Earth,0.2
Star Wars Empire at War Gold,0.2
Halo Spartan Assault,0.2
Trapped Dead,0.2
Tom Clancy's H.A.W.X. 2,0.2
Super Meat Boy,0.2
Dota 2,1447.0
Unturned,0.3
Dota 2,2594.0
Counter-Strike Global Offensive,51.0
SMITE,51.0
Saints Row IV,14.8
Quake Live,3.4
Tactical Intervention,2.4
Archeblade,2.1
Team Fortress 2,1.0
PAYDAY The Heist,0.4
War Thunder,0.4
Forge,0.4
Free to Play,0.2
Dota 2,5.3
Counter-Strike Condition Zero,490.0
Counter-Strike,316.0
Day of Defeat,5.8
Counter-Strike Condition Zero Deleted Scenes,1.0
Unturned,5.7
Counter-Strike Global Offensive,27.0
Call of Duty Black Ops II - Multiplayer,4.4
Brick-Force,1.3
Call of Duty Black Ops II,0.3
Dota 2,290.0
Garry's Mod,7.6
Dota 2,101.0
Counter-Strike Global Offensive,63.0
Total War ROME II - Emperor Edition,4.5
Team Fortress 2,1.9
Dota 2,0.2
Robocraft,133.0
Unturned,21.0
Team Fortress 2,18.3
Heroes & Generals,4.4
Gear Up,4.3
Guns and Robots,3.6
Dota 2,2.6
Dead Island,1.2
Torchlight,0.9
Titan Quest Immortal Throne,0.8
Titan Quest,0.4
Middle-earth Shadow of Mordor,19.2
Counter-Strike Source,22.0
Dota 2,473.0
Counter-Strike,1.4
"Warhammer 40,000 Dawn of War II",2.2
No More Room in Hell,2.7
S.K.I.L.L. - Special Force 2,0.6
Dota 2,0.2
Sleeping Dogs,0.7
Counter-Strike,101.0
Half-Life Blue Shift,0.3
Half-Life 2 Deathmatch,0.3
ARK Survival Evolved,409.0
Call of Duty Modern Warfare 2 - Multiplayer,110.0
Call of Duty Black Ops - Multiplayer,74.0
Sniper Elite V2,20.0
Call of Duty Modern Warfare 3 - Multiplayer,18.6
Mafia II,16.8
Call of Duty Modern Warfare 2,16.0
Call of Duty Black Ops,13.5
Duke Nukem Forever,8.8
Call of Duty Modern Warfare 3,7.0
Sniper Ghost Warrior,2.0
Mount & Blade Warband,128.0
Company of Heroes,89.0
Empire Total War,83.0
Company of Heroes 2,65.0
XCOM Enemy Unknown,60.0
Terraria,59.0
Sins of a Solar Empire Rebellion,57.0
Sins of a Solar Empire Trinity,57.0
Total War ROME II - Emperor Edition,57.0
Battlefield 2,54.0
Arma 3,43.0
Men of War,39.0
War Thunder,36.0
Sid Meier's Civilization V,35.0
Wargame Red Dragon,28.0
Arma 2 Operation Arrowhead,28.0
Insurgency,27.0
Wargame European Escalation,27.0
Rising Storm/Red Orchestra 2 Multiplayer,27.0
