id,year,course name
2779519,2,zoology
2779520,3,zoology
2779551,1,home science
2779552,2,home science
2779553,3,home science
2779592,1,mechanical
2779593,2,mechanical
2779594,3,mechanical
2779647,1,business administration
2779648,2,business administration
2779716,1,science
2779717,2,science
2779718,3,science
2779761,1,civil engineering
2779762,2,civil engineering
2779763,3,civil engineering
2779770,1,arts
2779771,2,arts
2779772,3,arts
2779822,1,taalvadya-parichay
2779823,2,taalvadya-parichay
2779862,1,dance-parangat
2779863,2,dance-parangat
2779882,1,business administration
2779883,2,business administration
2779936,1,civil engineering
2779937,2,civil engineering
2779938,3,civil engineering
2779939,4,civil engineering
2779964,1,science
2779965,2,science
2779966,3,science
2779974,1,nursing
2779975,2,nursing
2779976,3,nursing
2779977,1,arts
2779978,2,arts
2779979,3,arts
2780046,3,science
2780047,1,science
2780050,1,arts
2780056,2,science
2780059,3,science
2780061,2,arts
2780063,1,science
2780066,3,arts
2780067,2,science
2780070,2,science
2780073,3,science
2780078,1,science
2780124,1,mat
2780125,2,mat
2780126,3,mat
2780157,1,electro nics and commun ications enginee ring
2780158,2,electro nics and commun ications enginee ring
2780171,1,mechanical engg.
2780172,2,mechanical engg.
2780173,3,mechanical engg.
2780174,4,mechanical engg.
2780205,1,science
2780206,2,science
2780207,3,science
2777622,1,electronics
2777624,3,electronics
2777648,1,administration services
2777650,3,administration services
2777649,2,administration services
2777623,2,electronics
2777625,4,electronics
2780258,1,git
2780259,2,git
2780263,1,arts
2780264,2,arts
2780265,3,arts
2780266,4,arts
2780267,5,arts
2780268,5,arts
2780269,5,arts
2780270,5,arts
2780274,1,education
2780275,2,education
2780308,1,philosophy
2780309,2,philosophy
2780310,3,philosophy
2780311,1,geography
2780312,2,geography
2780313,3,geography
2780420,1,science
2780421,2,science
2780422,3,science
2780461,1,veterinary epidemiology & preventive medicine
2780462,2,veterinary epidemiology & preventive medicine
2780513,1,science
2780514,2,science
2780515,3,science
2780533,1,library
2780597,1,computer
2780598,2,computer
2780603,1,computer
2780604,2,computer
2780605,3,computer
2780606,4,computer
2780890,1,diploma in computer engineering
2780891,2,diploma in computer engineering
2780892,3,diploma in computer engineering
2780905,1,d.ed
2780906,2,d.ed
2780913,1,commerce
2780914,2,commerce
2780915,3,commerce
2780936,1,electronics and communication
2780937,2,electronics and communication
2780938,3,electronics and communication
2780939,4,electronics and communication
2781009,2,environmental engg.
2781004,1,environment
2781026,1,nuclear science & engineering
2781008,1,environmental engg.
2781006,3,environment
2781007,4,environment
2781027,2,nuclear science & engineering
2781005,2,environment
2781244,1,sanskrit
2781245,2,sanskrit
2781246,3,sanskrit
2781247,1,urdu
2781248,2,urdu
2781249,3,urdu
2781262,1,maithili
2781263,2,maithili
2781264,3,maithili
2781277,1,computer
2781278,2,computer
2781279,3,computer
2781290,1,discipline
2781291,2,discipline
2781292,3,discipline
2781311,1,mathematics
2781314,1,computer engineering
2781315,2,computer engineering
2781316,3,computer engineering
2781320,1,electronics engineering
2781321,2,electronics engineering
2781322,3,electronics engineering
2781331,1,cse
2781332,2,cse
2781333,3,cse
2781334,4,cse
2781350,1,arts
2781351,2,arts
2781352,3,arts
2781359,1,cse
2781360,2,cse
2781361,3,cse
2781362,4,cse
2781463,1,quality assurance
2781464,2,quality assurance
2781568,1,sociology
2781569,2,sociology
2781570,3,sociology
2781583,1,arts
2781584,2,arts
2781585,3,arts
2781625,1,arts
2781626,2,arts
2781627,3,arts
2781631,1,science
2781632,2,science
2781633,3,science
2781643,1,commerce
2781644,2,commerce
2781645,3,commerce
2781658,1,maths
2781659,2,maths
2781660,3,maths
2781742,1,education
2781743,2,education
2781790,1,commerce
2781791,2,commerce
2781792,3,commerce
2781793,1,computer application
2781794,2,computer application
2781795,3,computer application
2781796,1,arts
2781797,2,arts
2781798,3,arts
2781836,1,english
2781837,2,english
2781838,3,english
2781839,1,business administration
2781840,2,business administration
2781841,1,law
2781842,2,law
2781843,3,law
2781844,1,dcl
2781869,1,construction technology
2781870,2,construction technology
2781893,1,english
2781894,2,english
2781949,1,database
2781950,2,database
2781951,3,database
2781952,4,database
2781953,1,hcl
2781954,2,hcl
2781961,1,data structure
2781962,2,data structure
2781963,3,data structure
2781964,4,data structure
2781977,1,korean
2781978,2,korean
2781979,3,korean
2781980,4,korean
2781983,1,computer architecture
2781984,2,computer architecture
2781985,3,computer architecture
2781986,4,computer architecture
2782002,1,civil
2782003,2,civil
2782004,3,civil
2782116,1,commerce
2782117,2,commerce
2782118,3,commerce
2782122,1,management
2782123,2,management
2782124,3,management
2782127,1,commerce
2782128,2,commerce
2782214,1,general
2782215,2,general
2782216,3,general
2782217,4,general
2782235,1,sanskrit
2782236,2,sanskrit
2782237,3,sanskrit
2782265,1,hindi
2782266,2,hindi
2782267,3,hindi
2782292,1,urdu
2782293,2,urdu
2782294,3,urdu
2249190,2,admistrator
2249189,1,admistrator
2249191,3,admistrator
2782348,1,science
2782349,2,science
2782350,3,science
2782387,1,civit
2782388,2,civit
2782389,3,civit
2782393,1,electrical
2782394,2,electrical
2782395,3,electrical
2782407,1,coumputer science
2782408,4,coumputer science
2782410,2,coumputer science
2782412,3,coumputer science
2782460,1,ca
2782461,2,ca
2782462,3,ca
2782463,1,it cs
2782464,2,it cs
2782470,1,science
2782471,2,science
2782472,3,science
2782536,1,arts
2782537,1,arts
2782538,2,arts
2782539,2,arts
2782540,3,arts
2782541,3,arts
2782542,1,education
2782552,1,agriculture
2782553,2,agriculture
2782554,3,agriculture
2782555,4,agriculture
2782564,4,pathology
2782589,1,sociology
2782590,2,sociology
2782628,1,english
2782629,2,english
2782630,1,history
2782631,2,history
2782632,3,history
2782647,1,bio-chemistry
2782648,2,bio-chemistry
2782652,4,physics
2782653,1,botany
2782654,2,botany
2782748,1,english literature
2782749,2,english literature
2782750,3,english literature
2782754,1,arts
2782755,2,arts
2782756,3,arts
2760271,1,tax procedure and practice
2760273,3,tax procedure and practice
2760272,2,tax procedure and practice
2782778,1,chemistry
2782779,2,chemistry
2782872,1,civil engineering
2782873,2,civil engineering
2782874,3,civil engineering
2782912,1,bsc bzc
2782913,2,bsc bzc
2782914,3,bsc bzc
2783000,1,electrical engineering
2783001,2,electrical engineering
2783002,3,electrical engineering
2783009,1,electronics & communication engineeering
2783010,2,electronics & communication engineeering
2783011,3,electronics & communication engineeering
2783012,1,mechanical engineering
2783013,2,mechanical engineering
2783014,3,mechanical engineering
2783027,1,education
2783031,1,science
2783032,2,science
2783033,3,science
2783062,4,home sc. food & nutrition
2783074,4,political science
2783091,4,aih
2783103,4,philosophy
2783106,4,bengali
2783116,1,hindi
2783117,2,hindi
2783130,4,commerce
2783149,4,chemistry
2783191,1,computer application
2783192,2,computer application
2783193,3,computer application
2783220,1,commerce
2783221,2,commerce
2783224,1,economics
2783225,2,economics
2783236,1,professional  accounting
2783237,2,professional  accounting
2783238,3,professional  accounting
2783252,1,computer applications
2783253,2,computer applications
2783254,3,computer applications
2783267,4,physics
2783297,1,computer applications
2783298,2,computer applications
2783299,3,computer applications
2783303,1,mathematics
2783304,2,mathematics
2783316,1,computer science
2783317,2,computer science
2781420,2,engineering & technology
2781436,2,engineering & technology
2781419,1,engineering & technology
2781422,4,engineering & technology
2781435,1,engineering & technology
2781421,3,engineering & technology
2783366,1,electronics & communication engg
2783367,2,electronics & communication engg
2783370,1,electronics & communication engg
2783371,2,electronics & communication engg
2783372,3,electronics & communication engg
2783373,4,electronics & communication engg
2783376,1,computer science and engineering
2783377,2,computer science and engineering
2783378,3,computer science and engineering
2783379,4,computer science and engineering
2783382,1,civil engineering
2783383,2,civil engineering
2783384,3,civil engineering
2783385,4,civil engineering
2783398,1,electronics & communication engg
2783399,2,electronics & communication engg
2783400,3,electronics & communication engg
2783401,1,electrical engineering
2783402,2,electrical engineering
2783403,3,electrical engineering
2783421,1,cbz
2783422,2,cbz
2783423,3,cbz
2783495,1,electrical
2783496,2,electrical
2783497,3,electrical
2783515,1,arts
2783516,2,arts
2783517,3,arts
2783587,1,computer engg with specialization in cloud computing.
2783588,2,computer engg with specialization in cloud computing.
2783589,3,computer engg with specialization in cloud computing.
2783590,4,computer engg with specialization in cloud computing.
2783625,1,electronics & communication engg.  with specialization in  vlsi design & embedded systems
2783626,2,electronics & communication engg.  with specialization in  vlsi design & embedded systems
2783637,1,bio technology
2783638,2,bio technology
2783664,1,information technology
2783665,2,information technology
2783666,3,information technology
2783674,1,english
2783675,2,english
2783676,3,english
2783683,1,nutrition & dietetics
2783684,2,nutrition & dietetics
2783690,1,physiotherapy
2783691,2,physiotherapy
2783708,1,biotechnology
2783709,2,biotechnology
2783710,3,biotechnology
2783711,4,biotechnology
2783763,1,arts
2783764,2,arts
2783765,3,arts
2783766,1,arts
2783767,2,arts
2783768,3,arts
2783801,1,arts
2783802,2,arts
2783803,3,arts
2783804,1,science
2783805,2,science
2783806,3,science
2783831,1,science
2783832,2,science
2783895,1,(biotechnology))
2783896,2,(biotechnology))
2783901,1,social science
2783902,2,social science
2783905,1,lib. & info sci
2783958,1,electronics & comm. engg.
2783959,2,electronics & comm. engg.
2783960,4,electronics & comm. engg.
2783966,1,english
2783967,2,english
2783973,4,punjabi
2783979,1,full time
2783990,4,physical edu.
2784019,1,bpt
2784020,2,bpt
2784021,3,bpt
2784022,4,bpt
2784027,1,mangement
2784028,2,mangement
2784029,3,mangement
2784088,1,bzc
2784089,2,bzc
2784090,3,bzc
2784108,1,zoology
2784109,2,zoology
2784136,1,coumputer science
2784137,2,coumputer science
2784138,3,coumputer science
2784154,1,commerce
2784155,2,commerce
2784162,1,chemistry
2784163,2,chemistry
2784164,3,chemistry
2784175,1,maths
2784176,2,maths
2784203,1,zoology
2784204,2,zoology
2784233,1,computer science
2784234,2,computer science
2784241,4,hindi
2784360,1,b.ed.
2784361,2,b.ed.
2784397,1,power systems engineering
2784398,2,power systems engineering
2784407,1,computer integrated manufacturing
2784408,2,computer integrated manufacturing
2784411,1,automobile engineering
2784412,2,automobile engineering
2784435,1,chemical engineering
2784436,2,chemical engineering
2784437,3,chemical engineering
2784438,4,chemical engineering
2784465,1,m.sc chemistry(analytical chemistry)
2784466,2,m.sc chemistry(analytical chemistry)
2784491,1,if
2784492,2,if
2784493,3,if
2784515,1,arts
2784516,2,arts
2784517,3,arts
2784531,1,arts
2784532,2,arts
2784533,3,arts
2784600,1,arts
2784601,2,arts
2784602,3,arts
2784617,1,kayachikitsa
2784618,2,kayachikitsa
2784619,3,kayachikitsa
2784632,1,rasshastra evum bhaisgya kalpana
2784633,2,rasshastra evum bhaisgya kalpana
2784634,3,rasshastra evum bhaisgya kalpana
2784671,1,electrical
2784672,2,electrical
2784673,3,electrical
2784723,1,arts
2784724,2,arts
2784748,1,thermal power engineering
2784749,2,thermal power engineering
2784884,1,msc cs
2784885,2,msc cs
2784890,1,pgdca
2784899,1,electros & communicationnic
2784900,2,electros & communicationnic
2784901,3,electros & communicationnic
2784902,4,electros & communicationnic
2683699,2,home science
2683700,3,home science
2683688,3,urdu
2683686,1,urdu
2683698,1,home science
2683687,2,urdu
2784912,1,yes
2784913,2,yes
2784914,3,yes
2784915,1,math chemistry
2784916,2,math chemistry
2784927,1,dcp
2784928,2,dcp
2784929,3,dcp
2784948,1,mechanical engineering
2784949,2,mechanical engineering
2784950,3,mechanical engineering
2784951,4,mechanical engineering
2784989,1,pharmacognosy
2784990,2,pharmacognosy
2785019,1,deee
2785020,2,deee
2785021,3,deee
2785051,1,arts
2785052,2,arts
2785053,3,arts
2785078,1,science
2785079,2,science
2785093,4,physical education
2785095,1,physical education
2785099,4,environmental science
2785103,4,aqua culture
2785119,1,botany
2785120,2,botany
2785174,1,nanotechnology
2785175,2,nanotechnology
2785176,3,nanotechnology
2785177,4,nanotechnology
2785178,5,nanotechnology
2785191,4,statistics
2785218,4,history & archeology
2785223,1,history & archeology
2785230,1,management
2785231,2,management
2785301,1,mca
2785302,2,mca
2785326,1,mathematics
2785327,2,mathematics
2785328,3,mathematics
2785329,1,commerce
2785343,1,english
2785344,2,english
2785367,1,history
2785368,1,international business
2785369,2,international business
2785373,1,computer science
2785374,2,computer science
2785375,3,computer science
2785379,1,chemstry
2785380,1,history
2785381,2,history
2785382,3,history
2785388,1,geography
2785389,2,geography
2785390,3,geography
2785405,1,physics
2785406,2,physics
2785407,3,physics
2785412,1,education
2785457,1,computer
2785458,2,computer
2785491,1,commerce
2785492,2,commerce
2785493,3,commerce
2636995,3,yoga
2636997,2,yoga
2637012,1,yoga
2637002,3,yoga
2637000,1,yoga
2637001,2,yoga
2637013,3,yoga
2636994,2,yoga
2636993,1,yoga
2636996,1,yoga
2637015,2,yoga
2785550,1,arts/science
2785574,1,b.ed
2785617,1,science
2785618,2,science
2785619,3,science
2785620,4,science
2785666,1,education
2785677,1,finance
2785678,2,finance
2785679,3,finance
2620066,1,nursing
2620067,2,nursing
2785735,1,computer science
2785765,1,computer science
2785830,1,computer science
2785894,1,me
2785895,1,me
2785896,2,me
2785897,2,me
2785898,3,me
2785899,3,me
2785900,4,me
2785901,4,me
2785902,1,cse
2785903,1,cse
2785904,2,cse
2785905,2,cse
2785906,3,cse
2785907,3,cse
2785908,4,cse
2785909,4,cse
2693668,4,nursing
2693665,2,nursing
2693666,3,nursing
2693663,1,nursing
2693669,4,nursing
2693667,3,nursing
2693662,1,nursing
2693664,2,nursing
2785978,1,electrical engg
2785979,2,electrical engg
2785980,3,electrical engg
2785981,4,electrical engg
2786016,4,ee
2786017,4,ee
2786026,1,arts
2786027,2,arts
2786028,3,arts
2786044,1,science
2786045,2,science
2786046,3,science
2786047,1,arts
2786048,2,arts
2786049,3,arts
2786097,1,marathi
2786098,2,marathi
2786099,3,marathi
2786119,1,bsc mpe
2786120,2,bsc mpe
2786121,3,bsc mpe
2786131,1,bsc btmc
2786132,2,bsc btmc
2786133,3,bsc btmc
2786153,1,electronic
2786154,2,electronic
2786155,3,electronic
2786163,1,science
2786164,2,science
2786165,3,science
2786184,1,technician
2786185,1,lab technology
2786186,2,lab technology
2786226,1,commerce
2786227,2,commerce
2786228,3,commerce
2545861,3,engineering
2545858,1,engineering
2545862,3,engineering
2545860,2,engineering
2545859,2,engineering
2545863,4,engineering
2545864,4,engineering
2545857,1,engineering
2786230,1,bzc
2786231,2,bzc
2786232,3,bzc
2786248,1,mechanical engg
2786249,2,mechanical engg
2786250,1,mechanical engg
2786251,2,mechanical engg
2786252,3,mechanical engg
2786253,4,mechanical engg
2786266,1,biotechnology
2786267,2,biotechnology
2786268,3,biotechnology
2786269,4,biotechnology
2786369,1,general medicine
2786370,1,general medicine
2786371,2,general medicine
2786372,2,general medicine
2786373,3,general medicine
2786374,3,general medicine
2786429,1,mbbs
2786430,1,mbbs
2786431,2,mbbs
2786432,2,mbbs
2786433,3,mbbs
2786434,3,mbbs
2786435,4,mbbs
2786436,4,mbbs
2786437,5,mbbs
2786438,5,mbbs
2786466,1,civil
2786467,2,civil
2786468,3,civil
2786491,1,education
2786492,2,education
2786513,1,computer science
2786514,2,computer science
2786515,3,computer science
2786559,1,polotical
2786560,2,polotical
2786563,1,sociology
2786564,2,sociology
2518514,2,engg. & tech.
2518516,4,engg. & tech.
2518513,1,engg. & tech.
2518515,3,engg. & tech.
2786589,1,computer appplication
2786590,2,computer appplication
2786608,1,management
2786614,1,commerce
2786615,2,commerce
2786616,3,commerce
2786633,1,computer application
2786634,2,computer application
2786635,3,computer application
2786659,1,bio chemistry
2786660,2,bio chemistry
2786661,3,bio chemistry
2786665,1,buisiness administration
2786666,2,buisiness administration
2786667,3,buisiness administration
2786671,1,corporate secaratoryship
2786672,2,corporate secaratoryship
2786673,3,corporate secaratoryship
2786674,1,commerce
2786675,2,commerce
2786679,1,english
2786680,2,english
2786681,3,english
2786698,1,ee
2786699,2,ee
2786700,3,ee
2786701,4,ee
2786708,1,ee
2786709,2,ee
2786710,3,ee
2786720,1,digital communicati ons
2786721,2,digital communicati ons
2786722,1,mca
2786723,2,mca
2786724,3,mca
2786742,1,computer
2786743,2,computer
2786744,1,commerce
2786755,1,bio chemistry
2786756,2,bio chemistry
2786757,3,bio chemistry
2786805,1,english
2786841,1,commerce
2786842,2,commerce
2786843,3,commerce
2786935,1,english
2786936,2,english
2786956,1,m.i.l
2786957,2,m.i.l
2786958,3,m.i.l
2786965,1,history
2786966,2,history
2786967,3,history
2786982,1,tool & die making
2786983,2,tool & die making
2786984,3,tool & die making
2786985,4,tool & die making
2787044,1,chemistry
2787045,2,chemistry
2787046,3,chemistry
2787056,1,ai & as
2787057,2,ai & as
2787058,3,ai & as
2787085,1,arts
2787086,2,arts
2787087,3,arts
2787140,1,management
2787141,2,management
2787142,3,management
2787144,1,management
2787145,2,management
2787146,3,management
2786861,1,politics
2786868,2,zoology
2786867,1,zoology
2786869,3,zoology
2786862,2,politics
2786863,3,politics
2787200,1,information technology
2787201,2,information technology
2787202,3,information technology
2787221,1,coumputer science
2787222,1,coumputer science
2787223,2,coumputer science
2787224,2,coumputer science
2787225,3,coumputer science
2787226,3,coumputer science
2787241,1,physiotherapy
2787242,2,physiotherapy
2787243,3,physiotherapy
2787244,4,physiotherapy
2787245,5,physiotherapy
2787250,1,science
2787251,2,science
2787252,3,science
2784278,3,arts
2784277,2,arts
2784276,1,arts
2549124,2,commerce
2549127,2,arts
2549125,3,commerce
2549123,1,commerce
2549126,1,arts
2549128,3,arts
2787400,1,mechanical engineering
2787401,2,mechanical engineering
2787402,3,mechanical engineering
2787443,1,commerce
2787444,2,commerce
2787549,1,commerce
2787550,2,commerce
2787557,1,sanskrit
2787558,2,sanskrit
2787559,3,sanskrit
2787563,1,maths
2787564,2,maths
2787565,3,maths
2787623,1,physics
2787624,2,physics
2787625,3,physics
2787650,1,mbbs
2787651,2,mbbs
2787652,3,mbbs
2787653,4,mbbs
2787654,5,mbbs
2787655,5,mbbs
2787699,1,science
2787700,2,science
2787701,3,science
2787712,1,software computer science
2787713,2,software computer science
2787714,3,software computer science
2787716,1,computer science
2787717,2,computer science
2787718,3,computer science
2787740,4,commerce
2787749,1,commerce
2787750,2,commerce
2787751,1,bio-chemistry
2787752,2,bio-chemistry
2787776,1,chemistry
2787777,2,chemistry
2787778,3,chemistry
2787849,1,civil
2787850,2,civil
2787851,3,civil
2787893,1,diploma
2787894,2,diploma
2787895,3,diploma
2787912,1,education
2787913,2,education
2652807,2,science
2652801,1,industrial microbiology
2652809,4,science
2652802,2,industrial microbiology
2652806,1,science
2652803,3,industrial microbiology
2652808,3,science
2787917,1,computer engineering
2787918,2,computer engineering
2787919,3,computer engineering
2787937,1,co-education
2787938,2,co-education
2787946,1,education
2788059,1,pathology
2788060,2,pathology
2788061,3,pathology
2788062,1,anatomy
2788063,2,anatomy
2788064,3,anatomy
2788111,1,nursing
2788112,2,nursing
2788114,1,nursing
2788115,2,nursing
2788124,1,m.com
2788125,2,m.com
2788191,1,physics
2788192,2,physics
2788193,3,physics
2788218,1,history
2788219,2,history
2788220,3,history
2788221,1,maithili
2788222,2,maithili
2788223,3,maithili
2713258,2,b.com.(gen.e/m)
2713257,1,b.com.(gen.e/m)
2713259,3,b.com.(gen.e/m)
2788292,1,all subjects
2788293,2,all subjects
2788294,3,all subjects
2785859,3,electronics and communication engineering
2785878,3,applied sc.
2785862,2,computer science and engineering
2785877,2,applied sc.
2785860,4,electronics and communication engineering
2785858,2,electronics and communication engineering
2785879,4,applied sc.
2785861,1,computer science and engineering
2785863,3,computer science and engineering
2785876,1,applied sc.
2785857,1,electronics and communication engineering
2785864,4,computer science and engineering
2788365,1,chemistry
2788366,2,chemistry
2788367,3,chemistry
2788380,1,electronics
2788381,2,electronics
2788382,3,electronics
2788383,1,b.com (p)
2788384,2,b.com (p)
2788385,3,b.com (p)
2788392,1,arts
2788393,2,arts
2788394,3,arts
2788400,1,computer application
2788406,1,comp science
2788407,2,comp science
2788408,3,comp science
2788431,1,bbi
2788432,2,bbi
2788433,3,bbi
2788434,1,commerce
2788435,2,commerce
2788436,3,commerce
2788523,1,vocational
2788524,2,vocational
2788525,3,vocational
2788526,1,c bc bt
2788527,2,c bc bt
2788528,3,c bc bt
2788575,1,english
2788576,2,english
2788585,1,science
2788586,2,science
2788587,3,science
2788637,1,ee
2788638,2,ee
2788639,3,ee
2788657,1,social work
2788658,2,social work
2635245,3,english
2635243,1,english
2635244,2,english
2788809,1,commerce
2788810,2,commerce
2788811,3,commerce
2788816,1,biological sciences
2788817,1,social studies
2788821,1,science
2788822,2,science
2788823,3,science
2788836,1,arts
2788837,2,arts
2788838,3,arts
2788959,1,political sc
2788960,2,political sc
2788973,1,economics
2788974,2,economics
2789059,1,arts
2789060,2,arts
2789061,3,arts
2789081,1,science
2789082,2,science
2789083,3,science
2789142,1,civil
2789143,2,civil
2789144,3,civil
2789168,1,economics
2789169,2,economics
2789190,1,english
2789191,2,english
2789192,3,english
2789217,1,computer science
2789218,2,computer science
2789219,3,computer science
2789231,1,botany
2789232,1,botany
2789233,2,botany
2789267,1,information technology
2789268,2,information technology
2789269,3,information technology
2789354,1,computer
2789355,2,computer
2789356,3,computer
2789366,1,co-operation
2789367,2,co-operation
2789368,3,co-operation
2789425,1,mechanical engineering
2789426,2,mechanical engineering
2789427,3,mechanical engineering
2789428,4,mechanical engineering
2789449,1,building construction and mangement
2789450,2,building construction and mangement
2789451,3,building construction and mangement
2789452,4,building construction and mangement
2789453,5,building construction and mangement
2789454,1,interior design
2789455,2,interior design
2789456,3,interior design
2789457,4,interior design
2789458,5,interior design
2789489,4,law
2789496,1,engineering
2789497,2,engineering
2789503,1,engineering
2789504,2,engineering
2789505,3,engineering
2789506,4,engineering
2789524,4,engineering
2789546,4,computer applications
2789547,1,computer applications
2789548,2,computer applications
2789549,3,computer applications
2789551,4,sciences
2789650,1,jain darshan
2789651,2,jain darshan
2789652,4,jain darshan
2789660,1,dharmashastra
2789661,2,dharmashastra
2730815,1,marathi
2730819,2,marathi
2730818,1,marathi
2730816,2,marathi
2730817,3,marathi
2789664,1,management
2789665,2,management
2789666,3,management
2789701,1,computational mathematics
2789702,2,computational mathematics
2789704,1,master of computer application
2789705,2,master of computer application
2789706,3,master of computer application
2789712,1,power & energy systems
2789713,2,power & energy systems
2789714,4,electrical & electronics engineering
2789724,1,computer engineering
2789725,2,computer engineering
2789726,3,computer engineering
2789727,4,computer engineering
2789733,1,electronics & communication engg
2789734,2,electronics & communication engg
2789735,3,electronics & communication engg
2789736,4,electronics & communication engg
2789739,4,school of management
2789753,1,information technology
2789754,2,information technology
2789755,3,information technology
2789756,4,information technology
2789783,1,structural engineering
2789784,2,structural engineering
2789787,1,transportation engineering
2789788,2,transportation engineering
2789789,1,construction technology and management
2789790,2,construction technology and management
2777411,3,commerce
2777410,2,commerce
2777409,1,commerce
2789848,1,compulsory
2789849,2,compulsory
2789850,3,compulsory
2789907,1,nursing
2789908,2,nursing
2789121,1,marathi
2789122,2,marathi
2789970,1,computer
2789245,2,management
2789244,1,management
2789246,3,management
2790085,1,education
2790086,2,education
2790104,1,electronics & comm engg
2790105,2,electronics & comm engg
2790106,3,electronics & comm engg
2790115,1,finance
2790116,2,finance
2790117,3,finance
2790167,1,commerce
2790168,2,commerce
2790169,3,commerce
